Mothertongue,,African,Borean,Paleo-Melanesian,Amerindian,Creole,,0,Mothertongue     
African,Mothertongue,Niger-Congo,Nilo-Saharan,Khoisan,,,,1,African     
Niger-Congo,African,Macro-Niger,Bantu,,,,,2,Niger-Congo African Mothertongue   
Macro-Niger,Niger-Congo,,,,,,,3,Macro-Niger Niger-Congo African Mothertongue   
Bantu,Niger-Congo,,,,,,,3,Bantu Niger-Congo African Mothertongue   
Nilo-Saharan,African,,,,,,,2,Nilo-Saharan African Mothertongue   
Khoisan,African,,,,,,,2,Khoisan African Mothertongue   
Amerindian,Mothertongue,Algic,Na-Dene,Meso-American,South-American,,,1,Amerindian Mothertongue    
Algic,Amerindian,,,,,,,2,Algic Amerindian Mothertongue   
Na-Dene,Amerindian,,,,,,,2,Na-Dene Amerindian Mothertongue   
Meso-American,Amerindian,Nahuatl,Mayan,,,,,2,Meso-American Amerindian Mothertongue   
Nahuatl,Meso-American,,,,,,,3,Nahuatl Meso-American Amerindian Mothertongue  
Mayan,Meso-American,,,,,,,3,Mayan Meso-American Amerindian Mothertongue  
South-American,Amerindian,Quechuan,Guarani,Aymara,Mapudungun,,,2,South-American Amerindian Mothertongue   
Quechuan,South-American,,,,,,,3,Quechuan South-American Amerindian Mothertongue   
Guarani,South-American,,,,,,,3,Guarani South-American Amerindian Mothertongue   
Aymara,South-American,,,,,,,3,Aymara South-American Amerindian Mothertongue   
Mapudungun,South-American,,,,,,,3,Mapudungun South-American Amerindian Mothertongue   
Borean,Mothertongue,Afroasiatic,Indo-European,Ural-Altaic,Sino-Caucasian,Austric,,1,Borean Mothertongue    
Afroasiatic,Borean,Semitic,Berber,Chadic,Cushitic,,,2,Afroasiatic Borean Mothertongue   
Semitic,Afroasiatic,Arabic,Hebrew,,,,,3,Semitic Afroasiatic Borean Mothertongue  
Arabic,Semitic,,,,,,,4,Arabic Semitic Afroasiatic Borean Mothertongue
Hebrew,Semitic,,,,,,,4,Hebrew Semitic Afroasiatic Borean Mothertongue
Berber,Afroasiatic,,,,,,,3,Berber Afroasiatic Borean Mothertongue  
Chadic,Afroasiatic,,,,,,,3,Chadic Afroasiatic Borean Mothertongue  
Cushitic,Afroasiatic,,,,,,,3,Cushitic Afroasiatic Borean Mothertongue  
Indo-European,Borean,Centum,Satem,,,,,2,Indo-European Borean Mothertongue   
Centum,Indo-European,Greek,Romance,Germanic,Celtic,,,3,Centum Indo-European Borean Mothertongue  
Greek,Centum,,,,,,,4,Greek Centum Indo-European Borean Mothertongue 
Romance,Centum,Italian,French,Spanish,Portuguese,Romanian,,4,Romance Centum Indo-European Borean Mothertongue 
Italian,Romance,,,,,,,5,Italian Romance Centum Indo-European Borean Mothertongue
French,Romance,,,,,,,5,French Romance Centum Indo-European Borean Mothertongue
Spanish,Romance,,,,,,,5,Spanish Romance Centum Indo-European Borean Mothertongue
Portuguese,Romance,,,,,,,5,Portuguese Romance Centum Indo-European Borean Mothertongue
Romanian,Romance,,,,,,,5,Romanian Romance Centum Indo-European Borean Mothertongue
Germanic,Centum,German,Dutch,English,Scandinavian,,,4,Germanic Centum Indo-European Borean Mothertongue 
German,Germanic,,,,,,,5,German Germanic Centum Indo-European Borean Mothertongue
Dutch,Germanic,,,,,,,5,Dutch Germanic Centum Indo-European Borean Mothertongue
English,Germanic,,,,,,,5,English Germanic Centum Indo-European Borean Mothertongue
Scandinavian,Germanic,,,,,,,5,Scandinavian Germanic Centum Indo-European Borean Mothertongue
Celtic,Centum,,,,,,,4,Celtic Centum Indo-European Borean Mothertongue 
Satem,Indo-European,Iranian,Indo-Aryan,Slavic,Baltic,Albanian,Armenian,3,Satem Indo-European Borean Mothertongue  
Iranian,Satem,,,,,,,4,Iranian Satem Indo-European Borean Mothertongue 
Indo-Aryan,Satem,Central-Indoaryan,Northern-Indoaryan,NW-Indoaryan,Eastern-Indoaryan,Southern-Indoaryan,Insular-Indoaryan,4,Indo-Aryan Satem Indo-European Borean Mothertongue 
Central-Indoaryan,Indo-Aryan,,,,,,,5,Central-Indoaryan Indo-Aryan Satem Indo-European Borean Mothertongue 
North-Indoaryan,Indo-Aryan,,,,,,,5,North-Indoaryan Indo-Aryan Satem Indo-European Borean Mothertongue 
